Frame Attached,Frame Detached,Average Eccentricity,Average Size,Average Horizontal Location,Average Vertical Location,rolling?,Starting Vertical Position,Starting Horizontal Position,Final Vertical Position,Final Horizontal Position
226,226,0.667176433,117,939.4529915,1208.119658,no,939.4529915,1208.119658,939.4529915,1208.119658
230,635,0.47616587,145.8522167,61.61759648,1107.563171,yes,62.46405229,1115.372549,62.24117647,1096.147059
233,708,0.687685086,190.6693548,353.5310133,410.2763808,no,353.3236994,410.8728324,354.3645833,410.2239583
235,553,0.604367541,212.3867925,249.3611901,530.5618007,yes,247.0646766,621.4776119,250.1018519,420.9861111
235,235,0.897354238,149,388.6912752,348.9328859,no,388.6912752,348.9328859,388.6912752,348.9328859
235,706,0.734447022,205.0068027,689.6410338,280.3930843,yes,687.7692308,318.7451923,691.1724138,242.5960591
235,740,0.472232025,177.029724,807.6630359,1213.8987,yes,808.0854701,1258.529915,807.2046784,1166.584795
236,236,0.830300863,107,539.2242991,793.8130841,no,539.2242991,793.8130841,539.2242991,793.8130841
239,239,0.877337153,107,491.3738318,291.8411215,no,491.3738318,291.8411215,491.3738318,291.8411215
247,287,0.799511245,272.9512195,392.9067691,303.2707464,yes,389.8617021,340.8297872,391.3453815,290.6305221
247,247,0.546700695,124,809.1935484,201.8064516,no,809.1935484,201.8064516,809.1935484,201.8064516
251,251,0.614037239,170,536.5941176,730.4470588,no,536.5941176,730.4470588,536.5941176,730.4470588
251,251,0.805054637,147,604.2176871,607.8503401,no,604.2176871,607.8503401,604.2176871,607.8503401
252,252,0.759430628,99,931.9292929,762.1616162,no,931.9292929,762.1616162,931.9292929,762.1616162
254,254,0.458509324,175,110.1657143,249,no,110.1657143,249,110.1657143,249
255,287,0.79887941,185.8965517,397.4313392,219.3674149,yes,394.4198113,258.3443396,396.8235294,214.6149733
256,265,0.630998917,140.2,279.0712378,742.0052288,no,278.6,742.5214286,279.013245,741.5165563
262,266,0.664102379,87.33333333,934.3111314,755.1157729,yes,937.6691176,756.0441176,932.5915493,753.9577465
263,302,0.764171627,211.6375,753.3125456,851.581322,yes,755.1395349,874.0988372,750.6807818,840.3550489
266,266,0.803946234,175,963.28,643.9028571,no,963.28,643.9028571,963.28,643.9028571
268,351,0.530646316,110.6309524,455.1829386,874.24578,no,454.9285714,878.1964286,459.0049505,870.0742574
268,273,0.837137787,146,945.0320986,628.6594134,yes,946.1121951,636.3658537,943.9767442,623.2015504
274,909,0.500732038,126.1911232,97.3545136,700.2052039,yes,97.97297297,701.8558559,97.57462687,703.1343284
274,276,0.602160138,143.6666667,688.2526638,1167.714369,yes,688.7532468,1168.688312,687.5547445,1166.890511
276,276,0.447460463,96,961.2916667,612.4895833,no,961.2916667,612.4895833,961.2916667,612.4895833
278,283,0.857854308,99.75,943.466662,615.5022138,yes,943.5172414,617.25,941.0561798,613.3820225
278,279,0.496146837,127,968.0104686,346.7721834,no,968.0294118,346.7647059,967.9915254,346.779661
279,296,0.354893138,190.1666667,98.86480859,976.7205706,yes,100.3891892,979.372973,98.485,976.205
283,283,0.495546661,96,592.7916667,654.84375,no,592.7916667,654.84375,592.7916667,654.84375
284,284,0.885868773,102,941.9215686,955.5980392,no,941.9215686,955.5980392,941.9215686,955.5980392
285,285,0.734927423,103,293.0873786,754.8834951,no,293.0873786,754.8834951,293.0873786,754.8834951
285,287,0.901216724,142,935.0725212,952.8755956,yes,935.5590551,953.4645669,934.5859873,952.2866242
287,287,0.916361118,131,940.0458015,609.0610687,no,940.0458015,609.0610687,940.0458015,609.0610687
288,292,0.890337497,114.6,947.0004323,606.633735,yes,949.9193548,608.0322581,942.4328358,604.6791045
289,290,0.584420277,108,592.6274443,653.9181818,no,592.7454545,653.8363636,592.509434,654
290,290,0.771424261,93,136.6021505,155.1290323,no,136.6021505,155.1290323,136.6021505,155.1290323
290,295,0.733383796,250,393.570869,242.1603387,yes,393.0126582,247.4978903,393.650655,236.9650655
290,295,0.761648763,167.8333333,400.597474,112.0301304,yes,398.9593909,122.177665,400.9319372,104.9109948
291,291,0.832410211,151,604.205298,605.1986755,no,604.205298,605.1986755,604.205298,605.1986755
291,291,0.477583643,159,608.4402516,568.1132075,no,608.4402516,568.1132075,608.4402516,568.1132075
294,296,0.838100743,187.5,955.3002781,601.8692801,no,955.8540773,601.0343348,954.7464789,602.7042254
295,623,0.681875847,127.36,592.5566579,653.1957621,no,592.6782609,654.0608696,592.7419355,653.016129
295,295,0.62929701,113,1027.99115,495.9292035,no,1027.99115,495.9292035,1027.99115,495.9292035
296,473,0.77511236,204.6104651,392.7456596,233.5317241,yes,392.3918919,248.3693694,393.6845426,228.5173502
296,296,0.646765975,120,604.7666667,193.575,no,604.7666667,193.575,604.7666667,193.575
297,359,0.772959757,168.7241379,402.1780693,131.2537473,yes,401.3902439,140.9837398,402.1851852,114.0061728
297,426,0.782189884,140.023622,604.3450931,598.4450787,yes,604.4161074,604.5167785,604.2424242,592.6212121
299,299,0.810217017,98,404.4897959,1205.408163,no,404.4897959,1205.408163,404.4897959,1205.408163
300,300,0.669532617,138,610.1956522,6.565217391,no,610.1956522,6.565217391,610.1956522,6.565217391
301,302,0.395314215,155.5,416.4818336,1143.036788,no,416.6241611,1143.147651,416.3395062,1142.925926
306,403,0.741544152,221.1505376,753.7094024,829.0895051,yes,756.0793651,840.4232804,753.9787234,815.1021277
307,414,0.474283284,146.4807692,415.4506991,1137.396518,yes,416.5616438,1143.116438,417.0670103,1133.092784
307,330,0.705075868,191.3478261,428.1006968,1081.541696,yes,430.5051546,1093.448454,426.712766,1078.324468
308,318,0.887693686,104.1428571,935.9866263,945.1425707,yes,935.984127,946.6587302,935.795082,944.6557377
309,312,0.371345859,153.25,44.21562685,892.5240038,no,44.30872483,892.9328859,44.03144654,892.3396226
309,315,0.810485725,168.6666667,437.7082734,761.6655408,yes,435.3884298,786.3719008,439.8350515,750.1752577
309,309,0.745055997,92,522.0217391,153.3695652,no,522.0217391,153.3695652,522.0217391,153.3695652
310,353,0.570067338,165.804878,950.5203698,550.8758834,yes,950.2262774,550.270073,950.3555556,550.1111111
312,315,0.798593323,155.6666667,442.1825038,427.4391654,yes,439.0196078,442.1176471,444.3176471,419.1588235
315,905,0.53357878,172.1049069,18.36228924,775.3028433,no,18.59677419,775.1612903,17.81410256,776.3461538
319,435,0.891028059,155.8468468,439.0686996,426.8776838,yes,437.8727273,466.2848485,442.4311377,404.9371257
319,394,0.889652165,200.8157895,442.3223071,672.5957202,yes,442.2018779,704.8967136,441.5814978,658.1013216
319,326,0.780382009,105.125,455.9069958,190.9197984,yes,455.8724832,226.1812081,457.7614679,158.4862385
323,324,0.687533836,132.5,444.3654856,14.10661303,yes,443.8333333,16.99275362,444.8976378,11.22047244
324,331,0.823915653,119.7142857,794.5033764,640.5615064,yes,794.1025641,642.8888889,794.5163399,640.8627451
331,347,0.846836407,307.8666667,426.2107833,1075.435069,yes,429.4590164,1084.92459,424.7180851,1066.473404
332,344,0.729150036,82.72727273,460.213685,73.29018013,yes,458.2924528,110.6226415,463.8125,30.41666667
333,333,0.885839514,92,41,14.58695652,no,41,14.58695652,41,14.58695652
333,336,0.625061253,72.5,612.3370536,3.015943878,yes,612.53125,3.5625,612.1428571,2.469387755
335,343,0.615836018,128.2222222,399.7791943,50.39087333,yes,397.6986301,65.88356164,400.9056604,36.58490566
